Summary,Description,Assignee,Priority,Due Date,Labels,Control ID,Section,Frameworks,Domain,Evidence (Min),RICE,WSJF,Next Review
[NCA ECC v2.0] NCA ECC: Application Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Application Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Application Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Compliance;nan,NCA-ECC::Application_Security,NCA ECC: Application Security,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,nan;Operations Security,UNMAPPED,Unmapped,nan,Operations Security,Record/Log,52.5,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,52.5,10.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Application Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Application Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Application Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Audit & Assurance;nan,NCA-ECC::Application_Security,NCA ECC: Application Security,NCA ECC v2.0,Audit & Assurance,Policy/Standard; Configuration/Capture; Report/Review,52.5,10.0,2026-05-08
[PDPL (KSA)] PDPL: Breach Notification,"Establish and maintain controls for 'Breach Notification' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-11-09.

إنشاء وضبط ضوابط 'Breach Notification' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-11-09.",Team - Legal/Compliance,Highest,2025-11-16,PDPL (KSA);SAMA CSF;Compliance;Report/Review,PDPL::Breach_Notification,PDPL: Breach Notification,PDPL (KSA); SAMA CSF,Compliance,Policy/Standard; Procedure/Playbook; Record/Log,88.2,11.0,2026-11-09
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: Legal/Compliance. Priority: Critical. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: Legal/Compliance. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - Legal/Compliance,Highest,2025-11-16,nan;Compliance;Report/Review,UNMAPPED,Unmapped,nan,Compliance,Record/Log,63.0,9.0,2026-05-08
[NCA ECC v2.0] PDPL: DPIA & High-Risk Processing,"Establish and maintain controls for 'DPIA & High-Risk Processing' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'DPIA & High-Risk Processing' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,NCA ECC v2.0;PDPL (KSA);SAMA CSF;Risk Management;nan,PDPL::DPIA_&_High-Risk_Processing,PDPL: DPIA & High-Risk Processing,NCA ECC v2.0; PDPL (KSA); SAMA CSF,Risk Management,Policy/Standard; Procedure/Playbook; Record/Log,42.0,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Governance,"Implement and periodically test controls under NCA ECC v2.0 – 'Governance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Governance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,NCA ECC v2.0;Governance;Policy/Standard,NCA-ECC::Governance,NCA ECC: Governance,NCA ECC v2.0,Governance,Policy/Standard; Configuration/Capture; Report/Review,36.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Awareness & HR Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Awareness & HR Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Awareness & HR Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,NCA ECC v2.0;Compliance;nan,NCA-ECC::Awareness_&_HR_Security,NCA ECC: Awareness & HR Security,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Audit & Assurance,"Implement and periodically test controls under NCA ECC v2.0 – 'Audit & Assurance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Audit & Assurance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,NCA ECC v2.0;Compliance;nan,NCA-ECC::Audit_&_Assurance,NCA ECC: Audit & Assurance,NCA ECC v2.0,Compliance,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,36.0,9.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,nan;Compliance,UNMAPPED,Unmapped,nan,Compliance,Record/Log,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Governance,"Implement and periodically test controls under NCA ECC v2.0 – 'Governance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: SecOps/SOC. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Governance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: SecOps/SOC. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - SecOps/SOC,Medium,2025-12-24,NCA ECC v2.0;Governance;Record/Log,NCA-ECC::Governance,NCA ECC: Governance,NCA ECC v2.0,Governance,Policy/Standard; Configuration/Capture; Report/Review,36.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Audit & Assurance,"Implement and periodically test controls under NCA ECC v2.0 – 'Audit & Assurance'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: Critical. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Audit & Assurance' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: Critical. المراجعة القادمة: 2026-05-08.",Team - nan,Highest,2025-11-16,NCA ECC v2.0;Audit & Assurance;nan,NCA-ECC::Audit_&_Assurance,NCA ECC: Audit & Assurance,NCA ECC v2.0,Audit & Assurance,Policy/Standard; Configuration/Capture; Report/Review,52.5,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Risk Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Risk Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Risk Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;Risk Management;nan,NCA-ECC::Risk_Management,NCA ECC: Risk Management,NCA ECC v2.0,Risk Management,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[NCA ECC v2.0] PDPL: Consent & Lawful Basis,"Establish and maintain controls for 'Consent & Lawful Basis' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: nan. Priority: nan. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'Consent & Lawful Basis' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;PDPL (KSA);SAMA CSF;Privacy & PDPL;nan,PDPL::Consent_&_Lawful_Basis,PDPL: Consent & Lawful Basis,NCA ECC v2.0; PDPL (KSA); SAMA CSF,Privacy & PDPL,Policy/Standard; Procedure/Playbook; Record/Log,66.0,13.0,2026-05-08
[GRC] Unmapped,"Review and align this record against KSA frameworks (NCA ECC v2.0 / SAMA CSF / PDPL). Assign owner, define measurable acceptance criteria and minimum evidence, and schedule a review cycle. Minimum evidence: [Record/Log]. Owner: nan. Priority: nan. Next review: 2026-05-08.

مراجعة وتصنيف هذا السجل مقابل الأطر التنظيمية السعودية (NCA ECC v2.0 / SAMA CSF / PDPL). تعيين مالك، وتحديد معايير قبول قابلة للقياس وأدلة دنيا مطلوبة، وتحديد دورة مراجعة دورية. الحد الأدنى للأدلة: [Record/Log]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,nan,UNMAPPED,Unmapped,nan,nan,Record/Log,36.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Logging & Monitoring,"Implement and periodically test controls under NCA ECC v2.0 – 'Logging & Monitoring'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Logging & Monitoring' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;SAMA CSF;Operations Security;nan,NCA-ECC::Logging_&_Monitoring,NCA ECC: Logging & Monitoring,NCA ECC v2.0; SAMA CSF,Operations Security,Policy/Standard; Configuration/Capture; Report/Review,36.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Risk Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Risk Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: High. Next review: 2026-11-09.

تطبيق واختبار ضوابط 'Risk Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: High. المراجعة القادمة: 2026-11-09.",Team - nan,High,2025-11-23,NCA ECC v2.0;SAMA CSF;Risk Management;nan,NCA-ECC::Risk_Management,NCA ECC: Risk Management,NCA ECC v2.0; SAMA CSF,Risk Management,Policy/Standard; Configuration/Capture; Report/Review,45.0,9.0,2026-11-09
[NCA ECC v2.0] NCA ECC: Application Security,"Implement and periodically test controls under NCA ECC v2.0 – 'Application Security'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Application Security' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;Operations Security;nan,NCA-ECC::Application_Security,NCA ECC: Application Security,NCA ECC v2.0,Operations Security,Policy/Standard; Configuration/Capture; Report/Review,36.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Risk Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Risk Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: High. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Risk Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: High. المراجعة القادمة: 2026-05-08.",Team - nan,High,2025-11-23,NCA ECC v2.0;SAMA CSF;Risk Management;nan,NCA-ECC::Risk_Management,NCA ECC: Risk Management,NCA ECC v2.0; SAMA CSF,Risk Management,Policy/Standard; Configuration/Capture; Report/Review,54.0,9.0,2026-05-08
[NCA ECC v2.0] PDPL: Purpose & Minimization,"Establish and maintain controls for 'Purpose & Minimization' in alignment with the KSA PDPL and its regulations. Maintain evidence of compliance (policies, procedures, data subject handling logs), designate accountable ownership, and schedule periodic reviews. Ensure privacy notices, rights handling (SAR/erasure/rectification), and incident notification meet PDPL timelines. Minimum evidence: [Policy/Standard; Procedure/Playbook; Record/Log]. Owner: nan. Priority: nan. Next review: 2026-05-08.

إنشاء وضبط ضوابط 'Purpose & Minimization' بما يتوافق مع نظام حماية البيانات الشخصية ولائحته التنفيذية في المملكة. الاحتفاظ بأدلة الامتثال (سياسات، إجراءات، سجلات تعامل مع حقوق الأفراد)، وتحديد المالك المسؤول، وتحديد جداول مراجعة دورية. التأكد من إشعارات الخصوصية ومعالجة حقوق الأفراد وإشعارات الحوادث ضمن المدد النظامية. الحد الأدنى للأدلة: [Policy/Standard; Procedure/Playbook; Record/Log]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;PDPL (KSA);Risk Management;nan,PDPL::Purpose_&_Minimization,PDPL: Purpose & Minimization,NCA ECC v2.0; PDPL (KSA),Risk Management,Policy/Standard; Procedure/Playbook; Record/Log,42.0,11.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Asset Management,"Implement and periodically test controls under NCA ECC v2.0 – 'Asset Management'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Asset Management' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;nan,NCA-ECC::Asset_Management,NCA ECC: Asset Management,NCA ECC v2.0,nan,Policy/Standard; Configuration/Capture; Report/Review,30.0,9.0,2026-05-08
[NCA ECC v2.0] NCA ECC: Access Control,"Implement and periodically test controls under NCA ECC v2.0 – 'Access Control'. Define scope and responsible owners, maintain configuration baselines, and retain proof of control operation (configs/screenshots/reports). Track nonconformities and close remediation actions within defined SLAs. Minimum evidence: [Policy/Standard; Configuration/Capture; Report/Review]. Owner: nan. Priority: nan. Next review: 2026-05-08.

تطبيق واختبار ضوابط 'Access Control' وفق الإصدار الثاني من ضوابط الأمن السيبراني الأساسية (NCA ECC). تحديد النطاق والمالكين المسؤولين، والحفاظ على خطوط الأساس للإعدادات، والاحتفاظ بأدلة التشغيل (إعدادات/لقطات/تقارير). تتبع حالات عدم المطابقة وإغلاق إجراءات المعالجة ضمن اتفاقيات مستوى الخدمة. الحد الأدنى للأدلة: [Policy/Standard; Configuration/Capture; Report/Review]. المالك: nan. الأولوية: nan. المراجعة القادمة: 2026-05-08.",Team - nan,Medium,2025-12-24,NCA ECC v2.0;Access Control;nan,NCA-ECC::Access_Control,NCA ECC: Access Control,NCA ECC v2.0,Access Control,Policy/Standard; Configuration/Capture; Report/Review,64.8,11.0,2026-05-08
